start_id,direction,step_index,relative_distance_m,frame_id,target_coverage,contour_span_over_target_bbox,contour_median_x_px,boundary_type,boundary_penetration_px,first_physical_termination,model_visible_termination,target_side_fraction,external_side_fraction
start_11,LEFT,5,2.5,12411,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,LEFT,6,3.0,12415,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,LEFT,7,3.5,12419,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,LEFT,8,4.0,12423,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,RIGHT,0,0.0,12391,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,RIGHT,1,0.5,12427,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,RIGHT,2,1.0,12431,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,RIGHT,3,1.5,12435,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,RIGHT,4,2.0,12439,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,RIGHT,5,2.5,12443,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
